resolved_cited_acl_id,resolved_cited_title,total_strong_contexts,applies,background,compares_against,critiques,extends,uses,evidence_use_count,background_share,evidence_use_share,rank_by_total_strong_contexts,rank_by_evidence_use_count,rank_difference,absolute_rank_difference,reversal_type
P19-1217,Inferential Machine Comprehension: Answering Questions by Recursively Deducing the Evidence Chain from Text,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-3212,Transfer Learning for Health-related {T}witter Data,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P19-1321,Word and Document Embedding with v{MF}-Mixture Priors on Context Word Vectors,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.754,"{E}mpiri{ST} Corpus 2.0: Adding Manual Normalization, Lemmatization and Semantic Tagging to a {G}erman Web and {CMC} Corpus",1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
H93-1012,Overview of {TREC}-1,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P19-1553,Better Exploiting Latent Variables in Text Modeling,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2006.eamt-1.18,Leveraging Recurrent Phrase Structure in Large-scale Ontology Translation,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W07-1529,Shared Corpora Working Group Report,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.coling-main.493,Fact-level Extractive Summarization with Hierarchical Graph Mask on {BERT},1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.717,From Spatial Relations to Spatial Configurations,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-3656,Cross-Sentence Transformations in Text Simplification,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-3711,{TLR} at {BSNLP}2019: A Multilingual Named Entity Recognition System,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-3904,Multi-Element Long Distance Dependencies: Using {SP}k Languages to Explore the Characteristics of Long-Distance Dependencies,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-4005,{CCG}web: a New Annotation Tool and a First Quadrilingual {CCG} Treebank,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.coling-main.54,Named Entity Recognition for {C}hinese biomedical patents,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.coling-main.547,{``}What is on your mind?{''} Automated Scoring of Mindreading in Childhood and Early Adolescence,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P16-3006,Significance of an Accurate Sandhi-Splitter in Shallow Parsing of {D}ravidian Languages,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-6516,{S}patial{VOC}2{K}: A Multilingual Dataset of Images with Annotations and Features for Spatial Relations between Objects,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.nlptea-1.5,Combining {R}es{N}et and Transformer for {C}hinese Grammatical Error Diagnosis,1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.clssts-1.6,A Comparison of Unsupervised Methods for Ad hoc Cross-Lingual Document Retrieval,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P11-3010,{P}sycho{S}enti{W}ord{N}et,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2009.mtsummit-papers.2,Phrase Translation Model Enhanced with Association based Features,1,1,0,0,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-1707,"Fusing Document, Collection and Label Graph-based Representations with Word Embeddings for Text Classification",1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-1806,Context Models for {OOV} Word Translation in Low-Resource Languages,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
K16-1027,Substring-based unsupervised transliteration with phonetic and contextual knowledge,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.sigmorphon-1.15,Linguistic Knowledge in Multilingual Grapheme-to-Phoneme Conversion,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.ccl-1.90,A Mixed Learning Objective for Neural Machine Translation,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-2502,Stop Word Lists in Free Open-source Software Packages,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.vardial-1.15,N-gram and Neural Models for Uralic Language Identification: {NRC} at {V}ar{D}ial 2021,1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P13-2065,Stem Translation with Affix-Based Rule Selection for Agglutinative Languages,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-3011,A Hybrid Learning Scheme for {C}hinese Word Embedding,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-3013,Evaluating Word Embeddings in Multi-label Classification Using Fine-Grained Name Typing,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.wanlp-1.14,Adult Content Detection on {A}rabic {T}witter: Analysis and Experiments,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.wassa-1.30,Team Phoenix at {WASSA} 2021: Emotion Analysis on News Stories with Pre-Trained Language Models,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P15-4025,{N}iu{P}arser: A {C}hinese Syntactic and Semantic Parsing Toolkit,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2008.tc-1.9,Developing a 12-week e-Learning Course on Software Localisation at Imperial College {L}ondon: Design and Insights from Student Feedback,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.semeval-1.109,{SSN}{\_}{NLP} at {S}em{E}val-2020 Task 7: Detecting Funniness Level Using Traditional Learning with Sentence Embeddings,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-4306,Crowdsourcing {S}tory{L}ines: Harnessing the Crowd for Causal Relation Annotation,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.wmt-1.46,"The {U}niversity of {M}aryland, College Park Submission to Large-Scale Multilingual Shared Task at {WMT} 2021",1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.wmt-1.50,Back-translation for Large-Scale Multilingual Machine Translation,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.coling-main.112,Lexical Relation Mining in Neural Word Embeddings,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2022.acl-long.105,Unified Speech-Text Pre-training for Speech Translation and Recognition,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P14-2132,Observational Initialization of Type-Supervised Taggers,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.repl4nlp-1.19,On Dimensional Linguistic Properties of the Word Embedding Space,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2007.tmi-papers.16,Demonstration of the {S}panish to {E}nglish {METIS}-{II} {MT} system,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W18-6128,Step or Not: Discriminator for The Real Instructions in User-generated Recipes,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.nuse-1.8,Automatic extraction of personal events from dialogue,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.nuse-1.14,On-The-Fly Information Retrieval Augmentation for Language Models,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-4324,Assessing Incrementality in Sequence-to-Sequence Models,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.566,Fine-grained Named Entity Annotations for {G}erman Biographic Interviews,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.findings-emnlp.346,Incremental Text-to-Speech Synthesis with Prefix-to-Prefix Framework,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2005.mtsummit-ebmt.8,Assembling a Parallel Corpus from {RSS} News Feeds,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
R09-1072,A Unified Method for Extracting Simple and Multiword Verbs with Valence Information and Application for {H}ungarian,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
R09-2002,{M}ink: An Incremental Data-Driven Dependency Parser with Integrated Conversion to Semantics,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D19-1135,Towards Better Modeling Hierarchical Structure for Self-Attention with Ordered Neurons,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
R11-1023,Noun Compound and Named Entity Recognition and their Usability in Keyphrase Extraction,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
R11-1024,A Named Entity Recognition Method using Rules Acquired from Unlabeled Data,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2002.tc-1.1,The Full Text Multilingual Corpus: Breaking the Translation Memory Bottleneck,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D18-1472,Is it Time to Swish? Comparing Deep Learning Activation Functions Across {NLP} tasks,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.emnlp-main.200,{HENIN}: Learning Heterogeneous Neural Interaction Networks for Explainable Cyberbullying Detection on Social Media,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W04-0848,{LCC}{'}s {WSD} systems for Senseval-3,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2002.amta-papers.3,Adaptive bilingual sentence alignment,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D16-1154,Long-Short Range Context Neural Networks for Language Modeling,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W97-0509,Application of {NLP} technologyto production of closed-caption {TV}. programs in {J}apanese for the hearing impaired,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.emnlp-main.247,Scene Restoring for Narrative Machine Reading Comprehension,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D15-1223,Krimping texts for better summarization,1,1,0,0,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.emnlp-main.254,{P}areto Probing: {T}rading Off Accuracy for Complexity,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W97-1514,An Object-Oriented Linguistic Engineering Environment using {LFG} (Lexical Functionnal Grammar) and {CG} (Conceptual Graphs),1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W03-2409,Limits to annotation precision,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
R19-1147,{ETNLP}: A Visual-Aided Systematic Approach to Select Pre-Trained Embeddings for a Downstream Task,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W03-2114,Managing Dialogue Interaction: A Multi-Layered Approach,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.findings-emnlp.56,{N}eu{R}educe: Reducing Mixed {B}oolean-Arithmetic Expressions by Recurrent Neural Network,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D09-1113,Empirical Exploitation of Click Data for Task Specific Ranking,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
C10-2066,Automatic Allocation of Training Data for Rapid Prototyping of Speech Understanding based on Multiple Model Combination,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
S07-1106,{U}of{L}: Word Sense Disambiguation Using Lexical Cohesion,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
C98-1112,Generation that Exploits Corpus-Based Statistical Knowledge,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
S10-1084,{RALI}: Automatic Weighting of Text Window Distances,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.findings-emnlp.410,Why and when should you pool? Analyzing Pooling in Recurrent Architectures,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
S10-1087,{IIITH}: Domain Specific Word Sense Disambiguation,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
C96-2134,Document Classification Using Domain Specific Kanji Characters Extracted by X2 Method,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W03-0417,Training a Naive {B}ayes Classifier via the {EM} Algorithm with a Class Distribution Constraint,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D19-1229,Modeling Color Terminology Across Thousands of Languages,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D19-1411,Learning Only from Relevant Keywords and Unlabeled Documents,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
R09-1031,Fast Boosting-based Part-of-Speech Tagging and Text Chunking with Efficient Rule Representation for Sequential Labeling,1,1,0,0,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2005.eamt-1.10,Using template-grammars for shake {\&} bake paraphrasing,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-5015,A Comparison of Word-based and Context-based Representations for Classification Problems in Health Informatics,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.509,A Dataset for Multi-lingual Epidemiological Event Extraction,1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P86-1014,"Copying in Natural Languages, Context-Freeness, and Queue Grammars",1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.465,{P}ara{P}at: The Multi-Million Sentences Parallel Corpus of Patents Abstracts,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.460,{M}u{ST}-Cinema: a Speech-to-Subtitles corpus,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.445,Content-Equivalent Translated Parallel News Corpus and Extension of Domain Adaptation for {NMT},1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P88-1026,Lexicon and grammar in probabilistic tagging of written {E}nglish.,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
E89-1011,The Organization of the {R}osetta Grammars,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W06-1903,Cross-Cutting Aspects of Cross-Language Question Answering Systems,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2005.iwslt-1.27,Example-based Machine Translation Pursuing Fully Structural {NLP},1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P91-1020,A System for Translating Locative Prepositions From {E}nglish Into {F}rench,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W06-1524,Reconsidering Raising and Experiencers in {E}nglish,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
E17-2103,Unsupervised Training for Large Vocabulary Translation Using Sparse Lexicon and Word Classes,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.336,{TR}op{B}ank: {T}urkish {P}rop{B}ank V2.0,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
D19-1611,Polly Want a Cracker: Analyzing Performance of Parroting on Paraphrase Generation Datasets,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W06-1106,Sentence Comparison Using Robust {M}inimal {R}ecursion {S}emantics and an Ontology,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
E14-2002,"Multilingual, Efficient and Easy {NLP} Processing with {IXA} Pipeline",1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P97-1046,A Comparison of Head Transducers and Transfer for a Limited Domain Translation Application,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W06-0139,Description of the {NCU} {C}hinese Word Segmentation and Named Entity Recognition System for {SIGHAN} Bakeoff 2006,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W19-6736,Raising the {TM} Threshold in Neural {MT} Post-Editing: a Case Study on{T}wo Datasets,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.emnlp-demos.22,{L}ib{KGE} - A knowledge graph embedding library for reproducible research,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W05-1528,k-{NN} for Local Probability Estimation in Generative Parsing Models,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
C04-1183,Combining clues for lexical level aligning using the Null hypothesis approach,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2003.mtsummit-semit.6,Inductive coding of the {A}rabic lexicon,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.lrec-1.105,A Corpus Linguistic Perspective on Contemporary {G}erman Pop Lyrics with the Multi-Layer Annotated {``}Songkorpus{''},1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
Q16-1024,Sparse Non-negative Matrix Language Modeling,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
R09-1018,{E}dlin: an Easy to Read Linear Learning Framework,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W04-2802,Towards Measuring Scalability in Natural Language Understanding Tasks,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.semeval-1.46,"{KGP} at {S}em{E}val-2021 Task 8: Leveraging Multi-Staged Language Models for Extracting Measurements, their Attributes and Relations",1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W10-1009,Leveraging Hidden Dialogue State to Select Tutorial Moves,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
P11-2042,Data-oriented Monologue-to-Dialogue Generation,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2020.semeval-1.57,Yseop at {S}em{E}val-2020 Task 5: Cascaded {BERT} Language Model for Counterfactual Statement Analysis,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W15-4632,Multilingual Summarization with Polytope Model,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
L12-1540,{U}ni{D}ic for Early Middle {J}apanese: a Dictionary for Morphological Analysis of Classical {J}apanese,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.acl-long.93,Uncovering Constraint-Based Behavior in Neural Models via Targeted Fine-Tuning,1,0,0,0,0,1,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
N03-1025,Language and Task Independent Text Categorization with Simple Language Models,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W13-2251,Ranking Translations using Error Analysis and Quality Estimation,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W13-2228,{QCRI}-{MES} Submission at {WMT}13: Using Transliteration Mining to Improve Statistical Machine Translation,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W15-4917,Stripping Adjectives: Integration Techniques for Selective Stemming in {SMT} Systems,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W13-2209,Yandex School of Data Analysis Machine Translation Systems for {WMT}13,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
L12-1413,Strategies to Improve a Speaker Diarisation Tool,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
L12-1381,The {P}olish Sejm Corpus,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
N03-4004,{TAP}-{XL}: An Automated Analyst{'}s Assistant,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
L12-1345,Annotation of response tokens and their triggering expressions in {J}apanese multi-party conversations,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
2021.emnlp-main.740,{BART}hez: a Skilled Pretrained {F}rench Sequence-to-Sequence Model,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W15-5938,Sentence Boundary Detection for Social Media Text,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W15-5946,Triangulation of Reordering Tables: An Advancement Over Phrase Table Triangulation in Pivot-Based {SMT},1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
L12-1291,Federated Search: Towards a Common Search Infrastructure,1,0,0,0,1,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W13-1809,Finite State Morphology Tool for {L}atvian,1,0,0,0,0,0,1,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
W13-1733,{LIMSI}{'}s participation to the 2013 shared task on Native Language Identification,1,0,0,1,0,0,0,1,0.0,1.0,33593.0,9125.0,24468.0,24468.0,evidence-use riser
