case_type,entity_id,entity_title_or_name,object_type,total_count,evidence_use_count,share
benchmark_comparison_cited_paper,D17-1260,Agent-Aware Dropout {DQN} for Safe and Efficient On-line Dialogue Policy Learning,,10,6,0.6
benchmark_comparison_cited_paper,N19-1340,Semantic Role Labeling with Associated Memory Network,,10,6,0.6
benchmark_comparison_cited_paper,W11-1826,From Graphs to Events: A Subgraph Matching Approach for Information Extraction from Biomedical Text,,12,7,0.5833333333333334
benchmark_comparison_cited_paper,2021.naacl-main.399,Evaluating Saliency Methods for Neural Language Models,,21,12,0.5714285714285714
benchmark_comparison_cited_paper,2011.eamt-1.2,Tapta: A user-driven translation system for patent documents based on domain-aware Statistical Machine Translation,,14,8,0.5714285714285714
benchmark_comparison_cited_paper,2020.bionlp-1.9,Comparative Analysis of Text Classification Approaches in Electronic Health Records,,11,6,0.5454545454545454
benchmark_comparison_cited_paper,2021.emnlp-main.465,Do Transformer Modifications Transfer Across Implementations and Applications?,,13,7,0.5384615384615384
critique_bottleneck_cited_paper,W16-0302,Towards Early Dementia Detection: Fusing Linguistic and Non-Linguistic Clinical Data,,10,8,0.8
critique_bottleneck_cited_paper,U17-1009,Medication and Adverse Event Extraction from Noisy Text,,10,6,0.6
critique_bottleneck_cited_paper,W14-3203,Comparison of different feature sets for identification of variants in progressive aphasia,,14,8,0.5714285714285714
critique_bottleneck_cited_paper,W16-0308,Exploring Autism Spectrum Disorders Using {HLT},,14,8,0.5714285714285714
critique_bottleneck_cited_paper,N19-1186,Word Embedding-Based Automatic {MT} Evaluation Metric using Word Position Information,,18,11,0.6111111111111112
critique_bottleneck_cited_paper,I11-1098,Extending {W}ord{N}et with Hypernyms and Siblings Acquired from {W}ikipedia,,10,5,0.5
critique_bottleneck_cited_paper,W00-1219,Extraction of {C}hinese Compound Words - An Experimental Study on a Very Large Corpus,,10,5,0.5
critique_bottleneck_cited_paper,W18-5410,Unsupervised Token-wise Alignment to Improve Interpretation of Encoder-Decoder Models,,10,5,0.5
critique_bottleneck_cited_paper,N15-1115,Encoding World Knowledge in the Evaluation of Local Coherence,,14,6,0.42857142857142855
critique_bottleneck_cited_paper,2021.eacl-main.239,Diverse Adversaries for Mitigating Bias in Training,,12,7,0.5833333333333334
critique_bottleneck_cited_paper,D14-1213,Self-disclosure topic model for classifying and analyzing {T}witter conversations,,15,6,0.4
critique_bottleneck_cited_paper,2020.findings-emnlp.103,Undersensitivity in Neural Reading Comprehension,,10,4,0.4
critique_bottleneck_cited_paper,2020.tacl-1.11,Theoretical Limitations of Self-Attention in Neural Sequence Models,,40,15,0.375
critique_bottleneck_cited_paper,W15-4916,Searching for Context: a Study on Document-Level Labels for Translation Quality Estimation,,16,7,0.4375
critique_bottleneck_cited_paper,2020.coling-main.9,Hierarchical {C}hinese Legal event extraction via Pedal Attention Mechanism,,16,8,0.5
dataset_tool_model_infrastructure_object,BERT,BERT,model,47170,7073,0.08251006995972016
dataset_tool_model_infrastructure_object,LSTM,LSTM,model,34654,4742,0.06810180642927223
dataset_tool_model_infrastructure_object,BLEU,BLEU,metric,27308,4938,0.10927200820272448
dataset_tool_model_infrastructure_object,CRF,CRF,method,23524,2379,0.05385988777418806
dataset_tool_model_infrastructure_object,Transformer,Transformer,model,23049,2857,0.06885331250813484
dataset_tool_model_infrastructure_object,WordNet,WordNet,dataset_or_database,18263,1353,0.04336636916169304
dataset_tool_model_infrastructure_object,seq2seq,seq2seq,model,13456,1188,0.03968489892984542
dataset_tool_model_infrastructure_object,SemEval,SemEval,benchmark_or_protocol,12395,1266,0.07075433642597821
dataset_tool_model_infrastructure_object,attention mechanism,attention mechanism,method,12020,953,0.03544093178036606
dataset_tool_model_infrastructure_object,ROUGE,ROUGE,metric,10301,1970,0.13115231530919327
dataset_tool_model_infrastructure_object,GloVe,GloVe,model,10294,2349,0.17991062755002915
dataset_tool_model_infrastructure_object,HMM,HMM,method,10096,840,0.04070919175911252
dataset_tool_model_infrastructure_object,Penn Treebank,Penn Treebank,dataset_or_database,9441,1321,0.10973413833280372
dataset_tool_model_infrastructure_object,word2vec,word2vec,model,7361,1021,0.09428066838744736
dataset_tool_model_infrastructure_object,Moses,Moses,software_or_tool,6784,1822,0.20739976415094338
high_use_share_object,Stanford CoreNLP,Stanford CoreNLP,software_or_tool,2026,538,0.23692003948667326
high_use_share_object,OPUS,OPUS,software_or_tool,1207,297,0.21789560894780446
high_use_share_object,NLTK,NLTK,software_or_tool,1228,320,0.21579804560260588
high_use_share_object,Moses,Moses,software_or_tool,6784,1822,0.20739976415094338
high_use_share_object,spaCy,spaCy,software_or_tool,767,185,0.2046936114732725
high_use_share_object,GloVe,GloVe,model,10294,2349,0.17991062755002915
high_use_share_object,GIZA++,GIZA++,software_or_tool,5013,1068,0.15579493317374826
high_use_share_object,CoNLL-2003,CoNLL-2003,benchmark_or_protocol,1243,222,0.1415929203539823
high_use_share_object,CoNLL-2012,CoNLL-2012,benchmark_or_protocol,847,148,0.1322314049586777
high_use_share_object,ROUGE,ROUGE,metric,10301,1970,0.13115231530919327
high_use_share_object,WMT,WMT,benchmark_or_protocol,5418,972,0.12476928755998523
high_use_share_object,OntoNotes,OntoNotes,dataset_or_database,3065,489,0.11973898858075041
high_use_share_object,METEOR,METEOR,metric,5524,1012,0.1167632150615496
high_use_share_object,SQuAD,SQuAD,dataset_or_database,5503,898,0.11230238051971651
high_use_share_object,GLUE,GLUE,benchmark_or_protocol,3051,457,0.10980006555227795
