card_type,context_id,final_intent,object_name,object_type,final_object_type,relation_subtype,method_edge_type,normalized_section,cited_acl_id,cited_title,citation_sentence,evidence_span,confidence,why_interesting
high-confidence evidence card,ctxr_018d3565fd6dad1eed46,compares_against,BLEU,metric,metric,compare_against,compares,unknown,W18-2715,{O}pen{NMT} System Description for {WNMT} 2018: 800 words/sec on a single-core {CPU},"Compared to last year's fastest CPUbound submission (Senellart et al., 2018) , these are more than three and four times faster at over 3 points higher BLEU.","Compared to last year's fastest CPUbound submission (Senellart et al., 2018) , these are more than three and four times faster at over 3 points higher BLEU.",0.99,Explicit comparison against the cited system with performance and BLEU improvements.
high-confidence evidence card,ctxr_0245a15fb1d449f741e8,compares_against,BERT,model,model,compare_against,compares,unknown,D19-1250,Language Models as Knowledge Bases?,"We compare our method to three baselines: (a) BERT -A BERT base model without any fine-tuning, as evaluated in Petroni et al. (2019) . (b) LPAQA -The model proposed by Jiang et al. (2020) , based on mining additional paraphrase queries.","We compare our method to three baselines: (a) BERT -A BERT base model without any fine-tuning, as evaluated in Petroni et al. (2019) . (b) LPAQA -The model proposed by Jiang et al. (2020) , based on mining additional paraphrase queries.",0.99,"The cited work is used as a baseline comparison, explicitly named in a compare-to-baselines sentence."
high-confidence evidence card,ctxr_02a5365e0dae3584076c,compares_against,Transformer,model,model,compare_against,compares,experiment,2020.acl-demos.34,{ESP}net-{ST}: All-in-One Speech Translation Toolkit,"Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .","Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .",0.99,"The sentence explicitly says the cited ESPnet work is included 'as baselines,' which directly indicates comparison against it."
high-confidence evidence card,ctxr_02b454ef41cc2ecd5f88,compares_against,seq2seq,model,model,compare_against,compares,unknown,P16-1046,Neural Summarization by Extracting Sentences and Words,"For supervised neural extractive summarization models, we compare with a vanilla encoder-decoder model (Cheng and Lapata, 2016) , SummaRuNNer (Nallapati et al., 2017) , GlobalLocalCont (Xiao and Carenini, 2019) , Sent-CLF and Sent-PTR (Subramanian et al., 2019) .","For supervised neural extractive summarization models, we compare with a vanilla encoder-decoder model (Cheng and Lapata, 2016)",0.99,"The sentence explicitly says the current paper compares with the cited model, so the citation function is a baseline comparison against a model."
high-confidence evidence card,ctxr_02b7894a02fcb68677fb,compares_against,GloVe,model,model,compare_against,compares,evaluation,D14-1162,{G}lo{V}e: Global Vectors for Word Representation,"In this experiments, we compare SMedBERT with three types of models: classical word embedding methods (SGNS (Mikolov et al., 2013a) , GLOVE (Pennington et al., 2014) ), PLMs and KEPLMs.","In this experiments, we compare SMedBERT with three types of models: classical word embedding methods (SGNS (Mikolov et al., 2013a) , GLOVE (Pennington et al., 2014) ), PLMs and KEPLMs.",0.99,"GloVe is explicitly listed as a comparison baseline for SMedBERT, so the citation function is compare_against."
high-confidence evidence card,ctxr_03d9830cf8b9751c858b,compares_against,Moses,software_or_tool,software_or_tool,compare_against,compares,evaluation,P07-2045,{M}oses: Open Source Toolkit for Statistical Machine Translation,"• Baseline: The baseline system is an opensource system of the phrase-based model -Moses (Koehn et al., 2007) with a set of common features, including translation models, word and phrase penalties, a linear distortion model, a lexicalized reordering model, and a language model.","Baseline: The baseline system is an opensource system of the phrase-based model -Moses (Koehn et al., 2007) with a set of common features, including translation models, word and phrase penalties, a linear distortion model, a lexicalized reordering model, and a language model.",0.99,"The sentence explicitly labels Moses as the baseline system, which is direct compare-against evidence."
high-confidence evidence card,ctxr_0471be533426440eba45,compares_against,LSTM,model,model,compare_against,compares,unknown,P18-1041,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,"6 Despite its simplicity, it outperformed many neural network-based models such as the word-based CNN model (Kim, 2014) and RNN model with LSTM units (Shen et al., 2018 ).","it outperformed many neural network-based models such as the word-based CNN model (Kim, 2014) and RNN model with LSTM units (Shen et al., 2018 )",0.99,The sentence explicitly compares the current model against the cited LSTM-based model by stating it 'outperformed' it.
high-confidence evidence card,ctxr_056e86afe617c2502e71,compares_against,LSTM,model,model,compare_against,compares,abstract,2020.findings-emnlp.217,{P}rophet{N}et: Predicting Future N-gram for Sequence-to-{S}equence{P}re-training,"PEGFAME performs worse when compared with T5 (Raffel et al., 2019) , the original PEGASUS and ProphetNet (Qi et al., 2020) .","PEGFAME performs worse when compared with T5 (Raffel et al., 2019) , the original PEGASUS and ProphetNet (Qi et al., 2020) .",0.99,"The sentence explicitly compares PEGFAME against ProphetNet and states it performs worse, so this is a clear comparison baseline relation with negative stance."
high-confidence evidence card,ctxr_15c8c5bcb78fb1bf4331,extends,GloVe,model,model,improve,extends,unknown,Q17-1010,Enriching Word Vectors with Subword Information,"GloVe (Pennington et al., 2014) learns word vectors with the objective of estimating the logprobability of a word pair co-occurrence. fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).","fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).",0.99,"The sentence explicitly says fastText extends word2vec by adding subword information, which directly supports an extends/improve label."
high-confidence evidence card,ctxr_15c8c5bcb78fb1bf4331,extends,word2vec,model,model,improve,extends,unknown,Q17-1010,Enriching Word Vectors with Subword Information,"GloVe (Pennington et al., 2014) learns word vectors with the objective of estimating the logprobability of a word pair co-occurrence. fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).","fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).",0.99,"The sentence explicitly says fastText extends word2vec by adding subword information, which directly supports an extends/improve label."
high-confidence evidence card,ctxr_46dce39b01752c928a99,extends,attention mechanism,method,method,improve,extends,abstract,P16-1105,End-to-End Relation Extraction using {LSTM}s on Sequences and Tree Structures,"We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.","We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.",0.99,Explicit extension of the cited model with enhancements indicates an improved/adapted method relation.
high-confidence evidence card,ctxr_46dce39b01752c928a99,extends,SemEval,benchmark_or_protocol,method,improve,extends,abstract,P16-1105,End-to-End Relation Extraction using {LSTM}s on Sequences and Tree Structures,"We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.","We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.",0.99,Explicit extension of the cited model with enhancements indicates an improved/adapted method relation.
high-confidence evidence card,ctxr_489f72a80ca1ec87d1c3,extends,BERT,model,model,improve,extends,model,2020.acl-main.398,{T}a{P}as: Weakly Supervised Table Parsing via Pre-training,"• TAPAS (Herzig et al., 2020 ) extends a BERT (Devlin et al., 2019) architecture with additional positional embeddings for rows and columns to encode a table.","TAPAS (Herzig et al., 2020 ) extends a BERT (Devlin et al., 2019) architecture with additional positional embeddings for rows and columns to encode a table.",0.99,"Directly states TAPAS extends BERT with added positional embeddings, which is a clear model extension."
high-confidence evidence card,ctxr_5f4f45d93183914de292,extends,BLEU,metric,metric,improve,extends,introduction,2006.iwslt-evaluation.1,Overview of the {IWSLT}06 evaluation campaign,"We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .","We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .",0.99,"The sentence explicitly says 'We extend our analysis' and names metrics, with the cited campaign used as evaluation data."
high-confidence evidence card,ctxr_5f4f45d93183914de292,extends,METEOR,metric,metric,improve,extends,introduction,2006.iwslt-evaluation.1,Overview of the {IWSLT}06 evaluation campaign,"We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .","We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .",0.99,"The sentence explicitly says 'We extend our analysis' and names metrics, with the cited campaign used as evaluation data."
high-confidence evidence card,ctxr_654179ddc45edf113f80,extends,LSTM,model,model,improve,extends,model,N16-1026,{LSTM} {CCG} Parsing,"We extend previously proposed BiLSTM-based models (Lewis et al., 2016; in three ways: 1) we add character-level Convolutional Neural Networks (CNNs) to the input layer, 2) we perform concatenation of both directions of the LSTM not only after the final layer but also after each layer, and 3) we use a modified BiLSTM with highway connections.","We extend previously proposed BiLSTM-based models (Lewis et al., 2016; in three ways: 1) we add character-level Convolutional Neural Networks (CNNs) to the input layer, 2) we perform concatenation of both directions of the LSTM not only after the final layer but also after each layer, and 3) we use a modified BiLSTM with highway connections.",0.99,"Exact wording explicitly says they extend Lewis et al. 2016 BiLSTM-based models in three ways, so the citation function is extension of a model."
high-confidence evidence card,ctxr_8c25e08ba0ffe872191a,extends,HMM,method,method,improve,improves,abstract,C10-1106,"Fast, Greedy Model Minimization for Unsupervised Tagging","Taking the MIN-GREEDY algorithm (Ravi et al., 2010) as a starting point, we improve it with several intuitive heuristics.","Taking the MIN-GREEDY algorithm (Ravi et al., 2010) as a starting point, we improve it with several intuitive heuristics.",0.99,"The sentence explicitly says the current paper takes the cited algorithm as a starting point and improves it with heuristics, which is a direct extend/improve relation to a method."
high-confidence evidence card,ctxr_9aeaf7463aa111f05a7e,extends,CRF,method,model,improve,extends,unknown,N16-1030,Neural Architectures for Named Entity Recognition,"We base our NN g classifier on the system proposed in (Lample et al., 2016) , which was modified to match the peculiarities of the gazetteer-based approach: (i) we extend it as a 3-layer biLSTM with 120 units per layer and a single dropout layer (dropout probability of 0.5) between the third biL-STM and the output layer.",we extend it as a 3-layer biLSTM with 120 units per layer and a single dropout layer (dropout probability of 0.5) between the third biL-STM and the output layer,0.99,"The sentence explicitly says the current paper bases its classifier on Lample et al. and 'extend[s] it' with architectural changes, which directly supports an extends/improve relation."
high-confidence evidence card,ctxr_ba709668a2c376180661,critiques,BLEU,metric,metric,critique_limitation,not_method_related,introduction,2020.acl-main.448,Tangled up in {BLEU}: Reevaluating the Evaluation of Automatic Machine Translation Evaluation Metrics,"For instance, the limitations of BLEU are well-known (Callison-Burch et al., 2006; Reiter, 2018; Mathur et al., 2020) and the necessity to report automatic metric scores through standardized tools, such as Sacre-BLEU, has been recognized (Post, 2018) .",the limitations of BLEU are well-known,0.99,"The sentence explicitly states a limitation of BLEU, which is a metric, in the current paper’s introduction."
high-confidence evidence card,ctxr_0063d6ac6da3bae4d729,critiques,BLEU,metric,metric,critique_limitation,not_method_related,evaluation,W08-0309,Further Meta-Evaluation of Machine Translation,"This n-gram matching scheme makes BLEU very sensitive to small changes in the output, and fails to capture linguistic variations, especially in the case where only one reference translation is being used. (Callison-Burch et al., 2008) show that that BLEU has a lower correlation with human judgement than metrics such as TER, which take into account linguistic resources and better matching strategies.","This n-gram matching scheme makes BLEU very sensitive to small changes in the output, and fails to capture linguistic variations, especially in the case where only one reference translation is being used. (Callison-Burch et al., 2008) show that that BLEU has a lower correlation with human judgement than metrics such as TER, which take into account linguistic resources and better matching strategies.",0.98,The sentence explicitly criticizes BLEU’s limitation and cites Callison-Burch et al. as support for that critique.
high-confidence evidence card,ctxr_02ad1b53a04598c5ef2d,critiques,BLEU,metric,metric,critique_limitation,not_method_related,evaluation,2003.mtsummit-papers.10,The limits of n-gram translation evaluation metrics,"Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .","Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .",0.98,The sentence explicitly critiques BLEU’s limitation by saying its precision-based scoring fails to measure recall; the cited work is part of the grouped limitation citation.
high-confidence evidence card,ctxr_02ad1b53a04598c5ef2d,critiques,METEOR,metric,metric,critique_limitation,not_method_related,evaluation,2003.mtsummit-papers.10,The limits of n-gram translation evaluation metrics,"Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .","Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .",0.98,The sentence explicitly critiques BLEU’s limitation by saying its precision-based scoring fails to measure recall; the cited work is part of the grouped limitation citation.
high-confidence evidence card,ctxr_03b7b0559010c111611f,critiques,BLEU,metric,metric,critique_limitation,not_method_related,unknown,D08-1064,Decomposability of Translation Metrics for Improved Evaluation and Efficient Algorithms,"Since BLEU is not decomposable at the sentence level, this objective generally can not guarantee maximized BLEUs on respective domain partitions, but rather an optimal overall BLEU (Chiang et al., 2008) .","Since BLEU is not decomposable at the sentence level, this objective generally can not guarantee maximized BLEUs on respective domain partitions, but rather an optimal overall BLEU (Chiang et al., 2008) .",0.98,"The sentence explicitly critiques BLEU’s limitation using Chiang et al., 2008 as support, stating it is not decomposable at the sentence level and cannot guarantee maximized BLEU on domain partitions."
high-confidence evidence card,ctxr_04ef99a77464586a7987,critiques,Stanford CoreNLP,software_or_tool,software_or_tool,critique_limitation,not_method_related,introduction,K18-2020,{UDP}ipe 2.0 Prototype at {C}o{NLL} 2018 {UD} Shared Task,"While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.","While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.",0.98,"The sentence explicitly critiques UDPipe as one of several NLP toolkits that 'suffer from several limitations,' which supports a negative critique/limitation relation."
high-confidence evidence card,ctxr_04ef99a77464586a7987,critiques,spaCy,software_or_tool,software_or_tool,critique_limitation,not_method_related,introduction,K18-2020,{UDP}ipe 2.0 Prototype at {C}o{NLL} 2018 {UD} Shared Task,"While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.","While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.",0.98,"The sentence explicitly critiques UDPipe as one of several NLP toolkits that 'suffer from several limitations,' which supports a negative critique/limitation relation."
high-confidence evidence card,ctxr_0633c83fa0ae9d205d8b,critiques,NLTK,software_or_tool,software_or_tool,critique_limitation,not_method_related,experiment,J06-4003,Unsupervised Multilingual Sentence Boundary Detection,"NLTK's (Bird, 2006) PunktSentenceTokenizer is based on an unsupervised algorithm (Kiss and Strunk, 2006) and fails to segment text containing brackets, itemized text and abbreviations as sentence boundaries.","NLTK's (Bird, 2006) PunktSentenceTokenizer is based on an unsupervised algorithm (Kiss and Strunk, 2006) and fails to segment text containing brackets, itemized text and abbreviations as sentence boundaries.",0.98,"The sentence explicitly criticizes NLTK/PunktSentenceTokenizer for failing on specific text types, which groundedly supports a critique/limitation label for the cited unsupervised algorithm."
high-confidence evidence card,ctxr_0afaf8de4c0c3aa5bfa4,critiques,BLEU,metric,metric,critique_limitation,not_method_related,evaluation,2003.mtsummit-papers.51,Evaluation of machine translation and its evaluation,"A known limitation of the BLEU metric is that it only indirectly captures sentence-level features by counting n-grams for higher values of n, but syntactic variation can produce translation variants that may not be represented in reference translations, especially for languages that have relatively free word order (Chatterjee et al., 2007; Owczarzak et al., 2007; Turian and Melamed, 2003) .","A known limitation of the BLEU metric is that it only indirectly captures sentence-level features by counting n-grams for higher values of n, but syntactic variation can produce translation variants that may not be represented in reference translations, especially for languages that have relatively free word order",0.98,"The sentence explicitly states a limitation of BLEU and explains the drawback, so the citation function is a critique of a metric rather than use or comparison."
high-confidence evidence card,ctxr_11bd7ca5969080d98746,critiques,HMM,method,method,critique_limitation,background,introduction,J92-4003,Class-Based \textit{n}-gram Models of Natural Language,"While there has been much prior work on this task (Brown et al., 1992; Clark, 2003; Christodoulopoulos et al., 2010; Toutanova and Johnson, 2008; Goldwater and Griffiths, 2007; Blunsom and Cohn, 2011) , a common thread in many of these works is that models based on a Hidden Markov Model (HMM) graphical structure suffer from a tendency to assign too many different tags to the tokens of a given word type.",models based on a Hidden Markov Model (HMM) graphical structure suffer from a tendency to assign too many different tags to the tokens of a given word type,0.98,"The sentence explicitly critiques HMM-based models for a limitation: they 'suffer from a tendency' to over-assign tags. This supports a critique_limitation label, with negative stance."
high-confidence evidence card,ctxr_01f8d9715e3d0e630138,applies,BLEU,metric,metric,direct_use,not_method_related,unknown,N16-1014,A Diversity-Promoting Objective Function for Neural Conversation Models,"We apply BLEU and Distinct-n (Li et al., 2016) to measure the generated response on word-level matches and diversity.","We apply BLEU and Distinct-n (Li et al., 2016) to measure the generated response on word-level matches and diversity.",0.99,"The sentence explicitly says the current paper applies BLEU and Distinct-n as evaluation metrics; this is direct use of cited work's metric/resource, not comparison or critique."
high-confidence evidence card,ctxr_131624debea41e00d78f,applies,BERT,model,model,direct_use,uses_component,unknown,N19-1423,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,"We used InferSent (Conneau et al., 2017) and BERT (Devlin et al., 2019) to generate text embeddings for the title of the Reddit submissions.","We used InferSent (Conneau et al., 2017) and BERT (Devlin et al., 2019) to generate text embeddings for the title of the Reddit submissions.",0.99,"The sentence explicitly says the paper used BERT to generate text embeddings, which is direct use/application of the model."
high-confidence evidence card,ctxr_14a713a61c7c4175de24,applies,Penn Treebank,dataset_or_database,software_or_tool,direct_use,uses_component,unknown,P14-5010,The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,"Next, we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to identify sequences of the NNP tag, which indicates a proper noun in the Penn Treebank Tagset (Marcus et al., 1993) .","we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to",0.99,"The sentence explicitly says they apply the CoreNLP part-of-speech tagger to identify NNP sequences, which is direct use of the cited software/tool."
high-confidence evidence card,ctxr_14a713a61c7c4175de24,applies,Stanford CoreNLP,software_or_tool,software_or_tool,direct_use,uses_component,unknown,P14-5010,The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,"Next, we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to identify sequences of the NNP tag, which indicates a proper noun in the Penn Treebank Tagset (Marcus et al., 1993) .","we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to",0.99,"The sentence explicitly says they apply the CoreNLP part-of-speech tagger to identify NNP sequences, which is direct use of the cited software/tool."
high-confidence evidence card,ctxr_17ba7cafd81258dc73fb,applies,LSTM,model,method,direct_use,uses_component,experiment,P19-1103,Generating Natural Language Adversarial Examples through Probability Weighted Word Saliency,"We use PWWS (Ren et al., 2019) to generate adversarial examples on the test dataset.","We use PWWS (Ren et al., 2019) to generate adversarial examples on the test dataset.",0.99,Explicit direct use of PWWS to generate adversarial examples; no comparison or critique.
high-confidence evidence card,ctxr_2468155fe9da3d3fae39,background,SemEval,benchmark_or_protocol,benchmark_or_protocol,none,background,introduction,S14-2010,{S}em{E}val-2014 Task 10: Multilingual Semantic Textual Similarity,"Overview of systems participating in previous SemEval competitions can be found in (Agirre et al., 2012; Agirre et al., 2013; Agirre et al., 2014; Agirre et al., 2015) .","Overview of systems participating in previous SemEval competitions can be found in (Agirre et al., 2012; Agirre et al., 2013; Agirre et al., 2014; Agirre et al., 2015) .",0.99,"The sentence only points readers to prior SemEval competition system overviews. It does not describe using, extending, comparing against, or critiquing the cited STS task/paper."
