card_type,context_id,object_name,final_intent,final_object_type,final_relation_subtype,method_edge_type,resolved_cited_title,normalized_section,sentence_text,evidence_span,confidence,why_interesting
role quota,ctxr_0136aaca7147d10f1514,BERT,compares_against,method,compare_against,compares,Contextual String Embeddings for Sequence Labeling,results,"We can see that, compared with vanilla negative sampling, our proposed variant obtains far better performances on Method EC NEWS Partial CRF (Yang et al., 2018) 60.08 78.38 Positive-unlabeled (PU) Learning (Peng et al., 2019) 61.22 77.98 Weighted Partial CRF (Jie et al., 2019) 61.75 78.64 BERT-MRC (Li et al., 2020a) 55.72 74.55 BERT-Biaffine Model (Yu et al., 2020) 55 (Akbik et al., 2018) 93.09 89.3 HCR w/ BERT (Luo et al., 2020) 93.37 90.30 BERT-MRC (Li et al., 2020a) 93.04 91.11 BERT-Biaffine Model (Yu et al., 2020) 93.5 91.3 Vanilla Negative Sampling (Li et al., 2021a) 93.42 90.59 Our Proposed Variant 93.68 91.17 the first few epochs and converges much faster.","compared with vanilla negative sampling, our proposed variant obtains far better performances",0.99,"The sentence explicitly contrasts performance against the cited/related baseline and reports better results, which supports a compare-against label."
role quota,ctxr_018d3565fd6dad1eed46,BLEU,compares_against,metric,compare_against,compares,{O}pen{NMT} System Description for {WNMT} 2018: 800 words/sec on a single-core {CPU},unknown,"Compared to last year's fastest CPUbound submission (Senellart et al., 2018) , these are more than three and four times faster at over 3 points higher BLEU.","Compared to last year's fastest CPUbound submission (Senellart et al., 2018) , these are more than three and four times faster at over 3 points higher BLEU.",0.99,Explicit comparison against the cited system with performance and BLEU improvements.
role quota,ctxr_0245a15fb1d449f741e8,BERT,compares_against,model,compare_against,compares,Language Models as Knowledge Bases?,unknown,"We compare our method to three baselines: (a) BERT -A BERT base model without any fine-tuning, as evaluated in Petroni et al. (2019) . (b) LPAQA -The model proposed by Jiang et al. (2020) , based on mining additional paraphrase queries.","We compare our method to three baselines: (a) BERT -A BERT base model without any fine-tuning, as evaluated in Petroni et al. (2019) . (b) LPAQA -The model proposed by Jiang et al. (2020) , based on mining additional paraphrase queries.",0.99,"The cited work is used as a baseline comparison, explicitly named in a compare-to-baselines sentence."
role quota,ctxr_02a5365e0dae3584076c,Transformer,compares_against,model,compare_against,compares,{ESP}net-{ST}: All-in-One Speech Translation Toolkit,experiment,"Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .","Baselines We include as baselines the speech transformer model from (Ott et al., 2019) , Espnet result from (Inaguma et al., 2020) , adaptive feature selection method from (Zhang et al., 2020a) , dualdecoder Transformer from (Le et al., 2020) and Modality-Agnostic Meta-Learning from (Indurthi et al., 2019) in Table 1 .",0.99,"The sentence explicitly says the cited ESPnet work is included 'as baselines,' which directly indicates comparison against it."
role quota,ctxr_02b454ef41cc2ecd5f88,seq2seq,compares_against,model,compare_against,compares,Neural Summarization by Extracting Sentences and Words,unknown,"For supervised neural extractive summarization models, we compare with a vanilla encoder-decoder model (Cheng and Lapata, 2016) , SummaRuNNer (Nallapati et al., 2017) , GlobalLocalCont (Xiao and Carenini, 2019) , Sent-CLF and Sent-PTR (Subramanian et al., 2019) .","For supervised neural extractive summarization models, we compare with a vanilla encoder-decoder model (Cheng and Lapata, 2016)",0.99,"The sentence explicitly says the current paper compares with the cited model, so the citation function is a baseline comparison against a model."
role quota,ctxr_02b7894a02fcb68677fb,GloVe,compares_against,model,compare_against,compares,{G}lo{V}e: Global Vectors for Word Representation,evaluation,"In this experiments, we compare SMedBERT with three types of models: classical word embedding methods (SGNS (Mikolov et al., 2013a) , GLOVE (Pennington et al., 2014) ), PLMs and KEPLMs.","In this experiments, we compare SMedBERT with three types of models: classical word embedding methods (SGNS (Mikolov et al., 2013a) , GLOVE (Pennington et al., 2014) ), PLMs and KEPLMs.",0.99,"GloVe is explicitly listed as a comparison baseline for SMedBERT, so the citation function is compare_against."
role quota,ctxr_03d9830cf8b9751c858b,Moses,compares_against,software_or_tool,compare_against,compares,{M}oses: Open Source Toolkit for Statistical Machine Translation,evaluation,"• Baseline: The baseline system is an opensource system of the phrase-based model -Moses (Koehn et al., 2007) with a set of common features, including translation models, word and phrase penalties, a linear distortion model, a lexicalized reordering model, and a language model.","Baseline: The baseline system is an opensource system of the phrase-based model -Moses (Koehn et al., 2007) with a set of common features, including translation models, word and phrase penalties, a linear distortion model, a lexicalized reordering model, and a language model.",0.99,"The sentence explicitly labels Moses as the baseline system, which is direct compare-against evidence."
role quota,ctxr_0471be533426440eba45,LSTM,compares_against,model,compare_against,compares,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,unknown,"6 Despite its simplicity, it outperformed many neural network-based models such as the word-based CNN model (Kim, 2014) and RNN model with LSTM units (Shen et al., 2018 ).","it outperformed many neural network-based models such as the word-based CNN model (Kim, 2014) and RNN model with LSTM units (Shen et al., 2018 )",0.99,The sentence explicitly compares the current model against the cited LSTM-based model by stating it 'outperformed' it.
role quota,ctxr_056e86afe617c2502e71,LSTM,compares_against,model,compare_against,compares,{P}rophet{N}et: Predicting Future N-gram for Sequence-to-{S}equence{P}re-training,abstract,"PEGFAME performs worse when compared with T5 (Raffel et al., 2019) , the original PEGASUS and ProphetNet (Qi et al., 2020) .","PEGFAME performs worse when compared with T5 (Raffel et al., 2019) , the original PEGASUS and ProphetNet (Qi et al., 2020) .",0.99,"The sentence explicitly compares PEGFAME against ProphetNet and states it performs worse, so this is a clear comparison baseline relation with negative stance."
role quota,ctxr_15c8c5bcb78fb1bf4331,GloVe,extends,model,improve,extends,Enriching Word Vectors with Subword Information,unknown,"GloVe (Pennington et al., 2014) learns word vectors with the objective of estimating the logprobability of a word pair co-occurrence. fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).","fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).",0.99,"The sentence explicitly says fastText extends word2vec by adding subword information, which directly supports an extends/improve label."
role quota,ctxr_15c8c5bcb78fb1bf4331,word2vec,extends,model,improve,extends,Enriching Word Vectors with Subword Information,unknown,"GloVe (Pennington et al., 2014) learns word vectors with the objective of estimating the logprobability of a word pair co-occurrence. fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).","fastText (Bojanowski et al., 2017 ) extends word2vec by adding information about subwords (bag of character n-grams).",0.99,"The sentence explicitly says fastText extends word2vec by adding subword information, which directly supports an extends/improve label."
role quota,ctxr_46dce39b01752c928a99,SemEval,extends,method,improve,extends,End-to-End Relation Extraction using {LSTM}s on Sequences and Tree Structures,abstract,"We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.","We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.",0.99,Explicit extension of the cited model with enhancements indicates an improved/adapted method relation.
role quota,ctxr_46dce39b01752c928a99,attention mechanism,extends,method,improve,extends,End-to-End Relation Extraction using {LSTM}s on Sequences and Tree Structures,abstract,"We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.","We extend the end-to-end relation extraction model of (Miwa and Bansal, 2016) with enhancements such as a characterlevel encoding attention mechanism on selecting pretrained concept candidate embeddings.",0.99,Explicit extension of the cited model with enhancements indicates an improved/adapted method relation.
role quota,ctxr_489f72a80ca1ec87d1c3,BERT,extends,model,improve,extends,{T}a{P}as: Weakly Supervised Table Parsing via Pre-training,model,"• TAPAS (Herzig et al., 2020 ) extends a BERT (Devlin et al., 2019) architecture with additional positional embeddings for rows and columns to encode a table.","TAPAS (Herzig et al., 2020 ) extends a BERT (Devlin et al., 2019) architecture with additional positional embeddings for rows and columns to encode a table.",0.99,"Directly states TAPAS extends BERT with added positional embeddings, which is a clear model extension."
role quota,ctxr_5f4f45d93183914de292,BLEU,extends,metric,improve,extends,Overview of the {IWSLT}06 evaluation campaign,introduction,"We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .","We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .",0.99,"The sentence explicitly says 'We extend our analysis' and names metrics, with the cited campaign used as evaluation data."
role quota,ctxr_5f4f45d93183914de292,METEOR,extends,metric,improve,extends,Overview of the {IWSLT}06 evaluation campaign,introduction,"We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .","We extend our analysis to clusterings produced by several automatic MT evaluation metrics: BLEU (Papineni et al., 2002) , NIST (Doddington, 2002) , METEOR (Banerjee and Lavie, 2005) , and GTM (Melamed et al., 2004) , using the evaluation data from the IWSLT-2006 evaluation campaign (Paul, 2006) .",0.99,"The sentence explicitly says 'We extend our analysis' and names metrics, with the cited campaign used as evaluation data."
role quota,ctxr_654179ddc45edf113f80,LSTM,extends,model,improve,extends,{LSTM} {CCG} Parsing,model,"We extend previously proposed BiLSTM-based models (Lewis et al., 2016; in three ways: 1) we add character-level Convolutional Neural Networks (CNNs) to the input layer, 2) we perform concatenation of both directions of the LSTM not only after the final layer but also after each layer, and 3) we use a modified BiLSTM with highway connections.","We extend previously proposed BiLSTM-based models (Lewis et al., 2016; in three ways: 1) we add character-level Convolutional Neural Networks (CNNs) to the input layer, 2) we perform concatenation of both directions of the LSTM not only after the final layer but also after each layer, and 3) we use a modified BiLSTM with highway connections.",0.99,"Exact wording explicitly says they extend Lewis et al. 2016 BiLSTM-based models in three ways, so the citation function is extension of a model."
role quota,ctxr_8c25e08ba0ffe872191a,HMM,extends,method,improve,improves,"Fast, Greedy Model Minimization for Unsupervised Tagging",abstract,"Taking the MIN-GREEDY algorithm (Ravi et al., 2010) as a starting point, we improve it with several intuitive heuristics.","Taking the MIN-GREEDY algorithm (Ravi et al., 2010) as a starting point, we improve it with several intuitive heuristics.",0.99,"The sentence explicitly says the current paper takes the cited algorithm as a starting point and improves it with heuristics, which is a direct extend/improve relation to a method."
role quota,ctxr_9aeaf7463aa111f05a7e,CRF,extends,model,improve,extends,Neural Architectures for Named Entity Recognition,unknown,"We base our NN g classifier on the system proposed in (Lample et al., 2016) , which was modified to match the peculiarities of the gazetteer-based approach: (i) we extend it as a 3-layer biLSTM with 120 units per layer and a single dropout layer (dropout probability of 0.5) between the third biL-STM and the output layer.",we extend it as a 3-layer biLSTM with 120 units per layer and a single dropout layer (dropout probability of 0.5) between the third biL-STM and the output layer,0.99,"The sentence explicitly says the current paper bases its classifier on Lample et al. and 'extend[s] it' with architectural changes, which directly supports an extends/improve relation."
role quota,ctxr_ba709668a2c376180661,BLEU,critiques,metric,critique_limitation,not_method_related,Tangled up in {BLEU}: Reevaluating the Evaluation of Automatic Machine Translation Evaluation Metrics,introduction,"For instance, the limitations of BLEU are well-known (Callison-Burch et al., 2006; Reiter, 2018; Mathur et al., 2020) and the necessity to report automatic metric scores through standardized tools, such as Sacre-BLEU, has been recognized (Post, 2018) .",the limitations of BLEU are well-known,0.99,"The sentence explicitly states a limitation of BLEU, which is a metric, in the current paper’s introduction."
role quota,ctxr_0063d6ac6da3bae4d729,BLEU,critiques,metric,critique_limitation,not_method_related,Further Meta-Evaluation of Machine Translation,evaluation,"This n-gram matching scheme makes BLEU very sensitive to small changes in the output, and fails to capture linguistic variations, especially in the case where only one reference translation is being used. (Callison-Burch et al., 2008) show that that BLEU has a lower correlation with human judgement than metrics such as TER, which take into account linguistic resources and better matching strategies.","This n-gram matching scheme makes BLEU very sensitive to small changes in the output, and fails to capture linguistic variations, especially in the case where only one reference translation is being used. (Callison-Burch et al., 2008) show that that BLEU has a lower correlation with human judgement than metrics such as TER, which take into account linguistic resources and better matching strategies.",0.98,The sentence explicitly criticizes BLEU’s limitation and cites Callison-Burch et al. as support for that critique.
role quota,ctxr_02ad1b53a04598c5ef2d,BLEU,critiques,metric,critique_limitation,not_method_related,The limits of n-gram translation evaluation metrics,evaluation,"Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .","Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .",0.98,The sentence explicitly critiques BLEU’s limitation by saying its precision-based scoring fails to measure recall; the cited work is part of the grouped limitation citation.
role quota,ctxr_02ad1b53a04598c5ef2d,METEOR,critiques,metric,critique_limitation,not_method_related,The limits of n-gram translation evaluation metrics,evaluation,"Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .","Some of the limitations that have been identified for BLEU are very general, such as the fact that its precision-based scoring fails to measure recall, rendering it more like a document similarity meas-ure (Culy and Riehemann, 2003; Lavie et al., 2004; Owczarzak et al., 2007) .",0.98,The sentence explicitly critiques BLEU’s limitation by saying its precision-based scoring fails to measure recall; the cited work is part of the grouped limitation citation.
role quota,ctxr_03b7b0559010c111611f,BLEU,critiques,metric,critique_limitation,not_method_related,Decomposability of Translation Metrics for Improved Evaluation and Efficient Algorithms,unknown,"Since BLEU is not decomposable at the sentence level, this objective generally can not guarantee maximized BLEUs on respective domain partitions, but rather an optimal overall BLEU (Chiang et al., 2008) .","Since BLEU is not decomposable at the sentence level, this objective generally can not guarantee maximized BLEUs on respective domain partitions, but rather an optimal overall BLEU (Chiang et al., 2008) .",0.98,"The sentence explicitly critiques BLEU’s limitation using Chiang et al., 2008 as support, stating it is not decomposable at the sentence level and cannot guarantee maximized BLEU on domain partitions."
role quota,ctxr_04ef99a77464586a7987,Stanford CoreNLP,critiques,software_or_tool,critique_limitation,not_method_related,{UDP}ipe 2.0 Prototype at {C}o{NLL} 2018 {UD} Shared Task,introduction,"While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.","While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.",0.98,"The sentence explicitly critiques UDPipe as one of several NLP toolkits that 'suffer from several limitations,' which supports a negative critique/limitation relation."
role quota,ctxr_04ef99a77464586a7987,spaCy,critiques,software_or_tool,critique_limitation,not_method_related,{UDP}ipe 2.0 Prototype at {C}o{NLL} 2018 {UD} Shared Task,introduction,"While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.","While existing NLP toolkits such as CoreNLP (Manning et al., 2014) , FLAIR (Akbik et al., 2019) , spaCy 1 , and UDPipe (Straka, 2018) have had wide usage, they also suffer from several limitations.",0.98,"The sentence explicitly critiques UDPipe as one of several NLP toolkits that 'suffer from several limitations,' which supports a negative critique/limitation relation."
role quota,ctxr_0633c83fa0ae9d205d8b,NLTK,critiques,software_or_tool,critique_limitation,not_method_related,Unsupervised Multilingual Sentence Boundary Detection,experiment,"NLTK's (Bird, 2006) PunktSentenceTokenizer is based on an unsupervised algorithm (Kiss and Strunk, 2006) and fails to segment text containing brackets, itemized text and abbreviations as sentence boundaries.","NLTK's (Bird, 2006) PunktSentenceTokenizer is based on an unsupervised algorithm (Kiss and Strunk, 2006) and fails to segment text containing brackets, itemized text and abbreviations as sentence boundaries.",0.98,"The sentence explicitly criticizes NLTK/PunktSentenceTokenizer for failing on specific text types, which groundedly supports a critique/limitation label for the cited unsupervised algorithm."
role quota,ctxr_0afaf8de4c0c3aa5bfa4,BLEU,critiques,metric,critique_limitation,not_method_related,Evaluation of machine translation and its evaluation,evaluation,"A known limitation of the BLEU metric is that it only indirectly captures sentence-level features by counting n-grams for higher values of n, but syntactic variation can produce translation variants that may not be represented in reference translations, especially for languages that have relatively free word order (Chatterjee et al., 2007; Owczarzak et al., 2007; Turian and Melamed, 2003) .","A known limitation of the BLEU metric is that it only indirectly captures sentence-level features by counting n-grams for higher values of n, but syntactic variation can produce translation variants that may not be represented in reference translations, especially for languages that have relatively free word order",0.98,"The sentence explicitly states a limitation of BLEU and explains the drawback, so the citation function is a critique of a metric rather than use or comparison."
role quota,ctxr_11bd7ca5969080d98746,HMM,critiques,method,critique_limitation,background,Class-Based \textit{n}-gram Models of Natural Language,introduction,"While there has been much prior work on this task (Brown et al., 1992; Clark, 2003; Christodoulopoulos et al., 2010; Toutanova and Johnson, 2008; Goldwater and Griffiths, 2007; Blunsom and Cohn, 2011) , a common thread in many of these works is that models based on a Hidden Markov Model (HMM) graphical structure suffer from a tendency to assign too many different tags to the tokens of a given word type.",models based on a Hidden Markov Model (HMM) graphical structure suffer from a tendency to assign too many different tags to the tokens of a given word type,0.98,"The sentence explicitly critiques HMM-based models for a limitation: they 'suffer from a tendency' to over-assign tags. This supports a critique_limitation label, with negative stance."
role quota,ctxr_01f8d9715e3d0e630138,BLEU,applies,metric,direct_use,not_method_related,A Diversity-Promoting Objective Function for Neural Conversation Models,unknown,"We apply BLEU and Distinct-n (Li et al., 2016) to measure the generated response on word-level matches and diversity.","We apply BLEU and Distinct-n (Li et al., 2016) to measure the generated response on word-level matches and diversity.",0.99,"The sentence explicitly says the current paper applies BLEU and Distinct-n as evaluation metrics; this is direct use of cited work's metric/resource, not comparison or critique."
role quota,ctxr_131624debea41e00d78f,BERT,applies,model,direct_use,uses_component,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,unknown,"We used InferSent (Conneau et al., 2017) and BERT (Devlin et al., 2019) to generate text embeddings for the title of the Reddit submissions.","We used InferSent (Conneau et al., 2017) and BERT (Devlin et al., 2019) to generate text embeddings for the title of the Reddit submissions.",0.99,"The sentence explicitly says the paper used BERT to generate text embeddings, which is direct use/application of the model."
role quota,ctxr_14a713a61c7c4175de24,Penn Treebank,applies,software_or_tool,direct_use,uses_component,The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,unknown,"Next, we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to identify sequences of the NNP tag, which indicates a proper noun in the Penn Treebank Tagset (Marcus et al., 1993) .","we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to",0.99,"The sentence explicitly says they apply the CoreNLP part-of-speech tagger to identify NNP sequences, which is direct use of the cited software/tool."
role quota,ctxr_14a713a61c7c4175de24,Stanford CoreNLP,applies,software_or_tool,direct_use,uses_component,The {S}tanford {C}ore{NLP} Natural Language Processing Toolkit,unknown,"Next, we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to identify sequences of the NNP tag, which indicates a proper noun in the Penn Treebank Tagset (Marcus et al., 1993) .","we apply the CoreNLP part-of-speech tagger (Manning et al., 2014) to",0.99,"The sentence explicitly says they apply the CoreNLP part-of-speech tagger to identify NNP sequences, which is direct use of the cited software/tool."
role quota,ctxr_17ba7cafd81258dc73fb,LSTM,applies,method,direct_use,uses_component,Generating Natural Language Adversarial Examples through Probability Weighted Word Saliency,experiment,"We use PWWS (Ren et al., 2019) to generate adversarial examples on the test dataset.","We use PWWS (Ren et al., 2019) to generate adversarial examples on the test dataset.",0.99,Explicit direct use of PWWS to generate adversarial examples; no comparison or critique.
role quota,ctxr_2468155fe9da3d3fae39,SemEval,background,benchmark_or_protocol,none,background,{S}em{E}val-2014 Task 10: Multilingual Semantic Textual Similarity,introduction,"Overview of systems participating in previous SemEval competitions can be found in (Agirre et al., 2012; Agirre et al., 2013; Agirre et al., 2014; Agirre et al., 2015) .","Overview of systems participating in previous SemEval competitions can be found in (Agirre et al., 2012; Agirre et al., 2013; Agirre et al., 2014; Agirre et al., 2015) .",0.99,"The sentence only points readers to prior SemEval competition system overviews. It does not describe using, extending, comparing against, or critiquing the cited STS task/paper."
role quota,ctxr_5cce7b2182ffe9991ed5,SemEval,background,benchmark_or_protocol,none,background,{S}em{E}val-2016 Task 5: Aspect Based Sentiment Analysis,introduction,"ABSA has been a shared task in SemEval 2014 (Pontiki et al., 2014) , 2015 (Nakov et al., 2015) , 2016 (Pontiki et al., 2016) , and as a part of the overall task of sentiment analysis on Twitter in SemEval 2017 (Rosenthal et al., 2017) .","ABSA has been a shared task in SemEval 2014 (Pontiki et al., 2014) , 2015 (Nakov et al., 2015) , 2016 (Pontiki et al., 2016) , and as a part of the overall task of sentiment analysis on Twitter in SemEval 2017 (Rosenthal et al., 2017) .",0.99,"The cited work is mentioned only as part of prior background on ABSA shared tasks; no direct use, comparison, extension, or critique is expressed."
role quota,ctxr_623739668deeceaaa5bf,Moses,background,software_or_tool,direct_use,uses_component,Statistical Phrase-Based Translation,background,"We used the MOSES (Koehn et al., 2003) toolkit to train transliteration models by treating each transliteration pair (space separated sequence of characters) as the parallel data.","We used the MOSES (Koehn et al., 2003) toolkit to train transliteration models by treating each transliteration pair (space separated sequence of characters) as the parallel data.",0.99,"The sentence explicitly states direct use of the MOSES toolkit, which is evidence for a uses relation to the software/tool object."
role quota,ctxr_6e1d2f95f51dfbfdedbd,BLEU,background,metric,none,background,{B}leu: a Method for Automatic Evaluation of Machine Translation,unknown,"The BLEU score, introduced by Papineni et al. (2002) , is a metric for evaluating the quality of a candidate translation by comparing it to one or more reference translations.","The BLEU score, introduced by Papineni et al. (2002) , is a metric for evaluating the quality of a candidate translation by comparing it to one or more reference translations.",0.99,"The sentence only defines BLEU as a metric introduced by the cited work, which is clear background description rather than use, comparison, or extension."
