context_id,sentence_text,context_window_s3,resolved_cited_title,primary_candidate_intent,final_intent,final_object_type,final_relation_subtype,evidence_span,confidence,abstain,rationale_short,reviewer_correct,reviewer_notes
ctxr_d25812207831e6db1056,"We apply co-attention mechanism (Parikh et al., 2016) to model the estimator f EST .","We apply co-attention mechanism (Parikh et al., 2016) to model the estimator f EST . Firstly, we capture the semantic alignment between the source sentence x and the translation z",A Decomposable Attention Model for Natural Language Inference,applies,applies,method,direct_use,"We apply co-attention mechanism (Parikh et al., 2016) to",0.95,False,The citation explicitly states that the paper applies the co-attention mechanism from the cited work.,,
ctxr_6b928ed27dc6bc709d6c,"Textual Modality Encoder (EncT): We apply a TextCNN (Kim, 2014) to get the utterance-level textual embedding as h t based on the sequential word-level features x t .","Visual Modality Encoder (EncV): We adopt a similar method with EncA on the sequential frame-level facial expression features x v and get utterance-level visual embedding h v . Textual Modality Encoder (EncT): We apply a TextCNN (Kim, 2014) to get the utterance-level textual embedding as h t based on the sequential word-level features x t .",Convolutional Neural Networks for Sentence Classification,applies,applies,model,adapt_to_domain,"We apply a TextCNN (Kim, 2014) to",0.9,False,"The text explicitly states the application of TextCNN to derive embeddings, indicating adaptation.",,
ctxr_cc53ea93f0b6bd5375e4,"For JA→EN, the original data (16M pairs) is first filtered with Bicleaner (Sánchez-Cartagena et al.) 2 and we apply SentencePiece (Kudo and Richardson, 2018) to generate 32,000 subwords.","For EN↔DE and EN↔RO, we apply the same prepossessing steps and learn subwords as mentioned in prior work (EN↔DE: Zhou et al., 2020 , EN↔RO: Lee et al., 2018 . For JA→EN, the original data (16M pairs) is first filtered with Bicleaner (Sánchez-Cartagena et al.) 2 and we apply SentencePiece (Kudo and Richardson, 2018) to generate 32,000 subwords.",{S}entence{P}iece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing,applies,applies,software_or_tool,adapt_to_domain,"we apply SentencePiece (Kudo and Richardson, 2018) to generate 32,000 subwords",0.9,False,"The citation indicates that SentencePiece is applied as a tool to generate subwords, adapting it to the task/domain at hand.",,
ctxr_a5feae13adf4c04f0117,"For notes in an admission, we apply sentence and word tokenizers in the NLTK toolkit to each note (Loper and Bird, 2002) .","Representing notes. For notes in an admission, we apply sentence and word tokenizers in the NLTK toolkit to each note (Loper and Bird, 2002) . See §2.3 for details on how we use tokenized outcomes for different machine learning models.",{NLTK}: The Natural Language Toolkit,applies,applies,software_or_tool,adapt_to_domain,we apply sentence and word tokenizers in the NLTK toolkit to,0.95,False,"The text explicitly states 'we apply' NLTK, indicating the use of tokenizers from this toolkit for a specific task.",,
ctxr_e3386a7eb0590689e8c7,"As described in (Matusov et al., 2018) , we apply an automatic re-alignment process to improve the quality of the TED talk segmentations.","As described in (Matusov et al., 2018) , we apply an automatic re-alignment process to improve the quality of the TED talk segmentations. We use the TED-LIUM pronunciation lexicon.",Neural Speech Translation at {A}pp{T}ek,applies,applies,method,adapt_to_domain,we apply an automatic re-alignment process to,0.9,False,"The context clearly states that the method is applied to improve TED talk segmentations, indicating the intent is 'applies' and the relation is 'adapt_to_domain'.",,
ctxr_88ce550148da823fcae3,"To the best of our knowledge, our work is the first attempt to explore automatic attention supervision information mining for ASC. (3) We apply our approach to two dominant neural ASC models: Memory Network (MN) (Tang et al., 2016b; Wang et al., 2018) and Transformation Network (TNet) .","(2) We propose a novel incremental approach to automatically extract attention supervision information for neural ASC models. To the best of our knowledge, our work is the first attempt to explore automatic attention supervision information mining for ASC. (3) We apply our approach to two dominant neural ASC models: Memory Network (MN) (Tang et al., 2016b; Wang et al., 2018) and Transformation Network (TNet) . Experimental results on several benchmark datasets demonstrate the effectiveness of our approach.",Target-Sensitive Memory Networks for Aspect Sentiment Classification,applies,applies,model,adapt_to_domain,"We apply our approach to two dominant neural ASC models: Memory Network (MN) (Tang et al., 2016b; Wang et al., 2018)",0.85,False,"The citation states the application of the current approach to models from the cited work, indicating adaptation to a domain.",,
ctxr_791d1e628a68d6e023fe,"This paper applies the OS * approach to the problem of inference in hierarchical SMT (Chiang, 2007) .","This proposal is incrementally refined to be closer to the goal until the maximum is found, or until the sampling performance exceeds a certain level. This paper applies the OS * approach to the problem of inference in hierarchical SMT (Chiang, 2007) . In a nutshell, the idea is to replace the intractable problem of intersecting a contextfree grammar with a full language model by the tractable problem of intersecting it with a simplified, optimistic version of this LM which ""forgets"" parts of n-gram contexts, and to incrementally add more context based on evidence of the need to do so.",Hierarchical Phrase-Based Translation,applies,applies,task,adapt_to_domain,"This paper applies the OS * approach to the problem of inference in hierarchical SMT (Chiang, 2007)",0.9,False,"The text explicitly states that the OS * approach is applied to hierarchical SMT, indicating an application of a method to a task.",,
ctxr_35a6c44e9151bf493019,"We applied cross-entropy filtering (Moore and Lewis, 2010) to the German Common Crawl corpus performing the following steps:","We applied cross-entropy filtering (Moore and Lewis, 2010) to the German Common Crawl corpus performing the following steps:",Intelligent Selection of Language Model Training Data,applies,applies,method,adapt_to_domain,"We applied cross-entropy filtering (Moore and Lewis, 2010) to",0.9,False,"The citing paper applies the cross-entropy filtering method from Moore and Lewis (2010) to a specific dataset, indicating application and adaptation.",,
ctxr_2954d083606676f0af0a,"If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) .","If any of the targets already known (e.g. restaurant name, or meal) appears in the sentence text, next to a verb or adjective, it is chosen as the OTE. If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) . Having found one OTE, through the catalog or by NER, its text and position are marked in slot 2.",Incorporating Non-local Information into Information Extraction Systems by {G}ibbs Sampling,applies,applies,software_or_tool,adapt_to_domain,"our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014)",0.9,False,"The sentence explicitly states the use of Stanford NER as a tool applied in the current study for a specific task, indicating 'applies' with 'adapt_to_domain' as the reasoning.",,
ctxr_53060da054ece5afe8d8,"In this paper, we apply curriculum learning to this process, which was explored in neural machine translation (Platanios et al., 2019; Zhou et al., 2020) , and show how it can help in neural data-to-text generation.","The process typically involves mini-matches which are randomly sampled with a fixed size from the training set to feed into the model at each training step. In this paper, we apply curriculum learning to this process, which was explored in neural machine translation (Platanios et al., 2019; Zhou et al., 2020) , and show how it can help in neural data-to-text generation.",Competence-based Curriculum Learning for Neural Machine Translation,applies,applies,task,adapt_to_domain,"we apply curriculum learning to this process, which was explored in neural machine translation (Platanios et al., 2019; Zhou et al., 2020)",0.85,False,"The text states that the paper applies curriculum learning to a new task, adapting it from the task of neural machine translation explored by Platanios et al.",,
ctxr_a48bcd0565cd4fe94fe0,"We apply our strategy to the SNLI corpus (Bowman et al., 2015) , which consists of classifying premise-hypothesis sentence pairs into entailment, contradiction or neutral relations.","We apply our strategy to the SNLI corpus (Bowman et al., 2015) , which consists of classifying premise-hypothesis sentence pairs into entailment, contradiction or neutral relations. In this case, for each pair (x P , x H ), the running sum is over two latent distributions over parse trees, i.e.,",A large annotated corpus for learning natural language inference,applies,applies,dataset_or_database,direct_use,We apply our strategy to the SNLI corpus,0.95,False,"The text explicitly states the application of a strategy to the SNLI dataset, indicating use in a specific domain context.",,
ctxr_383a03122010837d6dd7,"Based on this representation, we apply a two stage entailment process similar to MacCartney et al. (2006) developed for textual entailment: an alignment stage followed by an entailment stage.","We use clauses in the logic-based approaches as the underlying representation of our system. Based on this representation, we apply a two stage entailment process similar to MacCartney et al. (2006) developed for textual entailment: an alignment stage followed by an entailment stage.",Learning to recognize features of valid textual entailments,applies,applies,method,adapt_to_domain,we apply a two stage entailment process similar to,0.85,False,"The context indicates that the paper applies and adapts a two-stage entailment process similar to the one developed by the cited work, indicating application and adaptation.",,
ctxr_1e31f6058954c13bf66b,"In this study we apply and evaluate an iterative pairwise alignment program for producing multiple sequence alignments, ALPHAMALIG (Alonso et al., 2004), using as material the phonetic transcriptions of words used in Bulgarian dialectological research.","In this study we apply and evaluate an iterative pairwise alignment program for producing multiple sequence alignments, ALPHAMALIG (Alonso et al., 2004), using as material the phonetic transcriptions of words used in Bulgarian dialectological research. To evaluate the quality of the multiple alignment, we propose two new methods based on comparing each column in the obtained alignments with the corresponding column in a set of gold standard alignments.",Multiple Sequence Alignment for Characterizing the Lineal Structure of Revision,uses,applies,software_or_tool,adapt_to_domain,"we apply and evaluate an iterative pairwise alignment program for producing multiple sequence alignments, ALPHAMALIG (Alonso et al., 2004), using as material the phonetic transcriptions of words used in Bulgarian dialectological research.",0.9,False,"The context clearly states the application of the ALPHAMALIG tool for a specific task, indicating adaptation to a new domain.",,
ctxr_6b5d06a6348580fd7e1a,"We apply our paraphrastic rewriter to the WMT 2016 Turkish-English translation task (Bojar et al., 2016b) .","We apply our paraphrastic rewriter to the WMT 2016 Turkish-English translation task (Bojar et al., 2016b) . We see no improvement in English to Turkish translation, but see a 1.1 BLEU improvement when training an initial NMT system on half paraphrased and half original data, and continued training on the original data.",Findings of the 2016 Conference on Machine Translation,applies,applies,benchmark_or_protocol,direct_use,"We apply our paraphrastic rewriter to the WMT 2016 Turkish-English translation task (Bojar et al., 2016b)",0.95,False,"The citation shows the application of a method to a task, directly using the WMT 2016 as a benchmark.",,
ctxr_38aa4685c926d43294b9,"We apply the standard transformer encoder (Devlin et al., 2019) to train our models, one for TDM triple prediction, and one for score 8 We randomly choose 10 papers from NLP-TDMS (Full) and compare their TDMS tuple annotations with the results reported in the original tables.","Recently, a multi-head self-attention encoder (Ashish et al., 2017) has been shown to perform well in various NLP tasks, including NLI (Devlin et al., 2019) . We apply the standard transformer encoder (Devlin et al., 2019) to train our models, one for TDM triple prediction, and one for score 8 We randomly choose 10 papers from NLP-TDMS (Full) and compare their TDMS tuple annotations with the results reported in the original tables. We found that 78% (18/23) of the annotated tuples contain boldfaced numeric scores.",{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,applies,applies,model,adapt_to_domain,"We apply the standard transformer encoder (Devlin et al., 2019) to train our models",0.9,False,"The provided context states the application of the transformer encoder from Devlin et al., indicating an adaptation to a specific task.",,
ctxr_64dd0a4b6f6c9c665fdd,"Our system applies transformation rules specified in XML files, to a typed dependency representation obtained from the Stanford Parser (De Marneffe et al., 2006) .","In this paper, we present a system, REGENT, for text regeneration tasks such as text simplification, style modification or paraphrase. Our system applies transformation rules specified in XML files, to a typed dependency representation obtained from the Stanford Parser (De Marneffe et al., 2006) . There are currently rule files for simplifying coordination (of verb phrases and full clauses), subordination, apposition and relative clauses, as well as conversion of passive to active voice; for instance, simplifying:",Generating Typed Dependency Parses from Phrase Structure Parses,applies,applies,software_or_tool,direct_use,"Our system applies transformation rules specified in XML files, to a typed dependency representation obtained from the Stanford Parser (De Marneffe et al., 2006)",0.9,False,"The paper applies a typed dependency representation from the Stanford Parser, indicating direct use of a software tool.",,
ctxr_c4c0afd66603e2daa9d4,"Our approach applies the best-first search paradigm (as in [Horacek 2003 ]) to the conceptual algorithm described in [Horacek 1996] , so that known unwanted effects (endless loops, unnecessary identification of objects) are avoided.","Our approach applies the best-first search paradigm (as in [Horacek 2003 ]) to the conceptual algorithm described in [Horacek 1996] , so that known unwanted effects (endless loops, unnecessary identification of objects) are avoided. Motivations, conceptualization and details of the implementation are described in [Haque 2015] .",A Best-First Search Algorithm for Generating Referring Expressions,applies,applies,method,adapt_to_domain,Our approach applies the best-first search paradigm (as in [Horacek 2003 ]),0.85,False,The context indicates an application of the best-first search paradigm from Horacek (2003) to a new context.,,
ctxr_473dbde1382e7233b17c,"To handle the intent classification and the OOS detection, we apply the threshold-based strategy in Larson et al. (2019) , to the softmax output of the N -class classification model (Hendrycks and Gimpel, 2017) :","To handle the intent classification and the OOS detection, we apply the threshold-based strategy in Larson et al. (2019) , to the softmax output of the N -class classification model (Hendrycks and Gimpel, 2017) :",An Evaluation Dataset for Intent Classification and Out-of-Scope Prediction,applies,applies,unknown,direct_use,"we apply the threshold-based strategy in Larson et al. (2019) , to",0.8,False,"The paper applies a strategy from Larson et al. (2019) directly, indicating use and adaptation.",,
ctxr_a6033cff0c81af99d056,"If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) .","If any of the targets already known (e.g. restaurant name, or meal) appears in the sentence text, next to a verb or adjective, it is chosen as the OTE. If this does not lead to any OTE candidate, our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014) . Having found one OTE, through the catalog or by NER, its text and position are marked in slot 2.",Incorporating Non-local Information into Information Extraction Systems by {G}ibbs Sampling,applies,applies,software_or_tool,adapt_to_domain,"our system applies named entity recognition, looking for references to organization and location entities, using Stanford NER tool (Finkel et al., 2005; Manning et al., 2014)",0.9,False,The citation indicates the application of the Stanford NER tool in a specific domain task.,,
ctxr_00e750efc9066f68949e,"In recent work, Duboue and McKeown (2003) propose a method for learning a content planner from a collection of texts together with a domain-specific knowledge base, but our method applies to domains in which no such knowledge base has been supplied.","In recent work, Duboue and McKeown (2003) propose a method for learning a content planner from a collection of texts together with a domain-specific knowledge base, but our method applies to domains in which no such knowledge base has been supplied.",Statistical Acquisition of Content Selection Rules for Natural Language Generation,applies,applies,method,adapt_to_domain,our method applies to domains in which no such knowledge base has been supplied,0.9,False,"The context shows the current paper applying their method to domains without a knowledge base, differing from the cited work's domain.",,
ctxr_766d225e1cf3e46749c0,"Our approach applies sentiment lexicon and syntactic rules to the output of dependency parser based on Universal Dependencies (UD) (Nivre et al., 2016) .","To achieve a multilingual system that meets these requirements, we utilize a pipeline approach for clause-level sentiment detection. Our approach applies sentiment lexicon and syntactic rules to the output of dependency parser based on Universal Dependencies (UD) (Nivre et al., 2016) . By capturing syntactic phenomena such as coordination and negation, we can accurately extract positive and negative polarities along with their corresponding predicate and tar-get by means of lexicon that can be manually configured or statistically expanded.",{U}niversal {D}ependencies v1: A Multilingual Treebank Collection,applies,applies,dataset_or_database,adapt_to_domain,"Our approach applies sentiment lexicon and syntactic rules to the output of dependency parser based on Universal Dependencies (UD) (Nivre et al., 2016) .",0.9,False,"The citation indicates the use of UD outputs in a sentiment analysis task, suggesting application and adaptation to a new domain.",,
ctxr_a46a42deadd2e43e2611,"Thus, we apply the greedy algorithm (Lin and Bilmes, 2010) guaranteeing near-optimization to solve the problem.","Equations 8,9 and 10 are all monotone submodular functions under the budget constraint. Thus, we apply the greedy algorithm (Lin and Bilmes, 2010) guaranteeing near-optimization to solve the problem.",Multi-document Summarization via Budgeted Maximization of Submodular Functions,applies,applies,method,direct_use,"we apply the greedy algorithm (Lin and Bilmes, 2010) guaranteeing near-optimization",0.9,False,"The text explicitly states they apply the algorithm from Lin and Bilmes (2010), indicating direct use.",,
ctxr_21981d48f6ad54f23ad9,"For the WMT 2015 German→English task, we applied discriminative maximum expected BLEU training as described by Wuebker et al. (2015) .","In our baseline translation system the phrase tables were extracted from word alignments and the probabilities were estimated as relative frequencies, which is still the state-of-the-art for many standard SMT systems. For the WMT 2015 German→English task, we applied discriminative maximum expected BLEU training as described by Wuebker et al. (2015) . The expected BLEU objective function is optimized with the resilient backpropagation algorithm (RPROP) (Riedmiller and Braun, 1993) .",A Comparison of Update Strategies for Large-Scale Maximum Expected {BLEU} Training,uses,applies,method,adapt_to_domain,we applied discriminative maximum expected BLEU training as described by Wuebker et al. (2015),0.95,False,The context describes how the paper applies the method from Wuebker et al. (2015) to a specific task.,,
ctxr_d9ff98bc559193ab47d9,"As mentioned in Section 1, we apply beam search and Huang and Sagae (2010)'s DP techniques to our top-down parser.","As mentioned in Section 1, we apply beam search and Huang and Sagae (2010)'s DP techniques to our top-down parser. Algorithm 1 shows the our beam search algorithm in which top most b states are preserved in a buffer buf [ℓ] in each step.",Dynamic Programming for Linear-Time Incremental Parsing,applies,applies,method,adapt_to_domain,we apply beam search and Huang and Sagae (2010)'s DP techniques to,0.9,False,"The sentence indicates the application of Huang and Sagae's DP techniques to the authors' parser, suggesting an adaptation to their specific domain.",,
ctxr_e5e30889e9d75f371a42,"Firstly, following Soto et al. (2017) and Bollmann (2011), we applied a set of unit test to each module of the system, using the test cases from SimpleNLG-EN plus a set of newly constructed test cases that address some of the peculiarities of Mandarin (e.g., the ""把"" construct).","We decided to evaluate SimpleNLG-ZH in two ways. Firstly, following Soto et al. (2017) and Bollmann (2011), we applied a set of unit test to each module of the system, using the test cases from SimpleNLG-EN plus a set of newly constructed test cases that address some of the peculiarities of Mandarin (e.g., the ""把"" construct). Secondly, we evaluated the system using a set of expressions from a corpus of actual language use; this was reminiscent of Mazzei et al. (2016) and Bollmann (2011) , but using a larger set of expressions.",Adapting {S}imple{NLG} to {S}panish,applies,applies,benchmark_or_protocol,adapt_to_domain,we applied a set of unit test to each module of the system,0.85,False,The context shows application and adaptation of unit tests from Soto et al. to a different domain (Mandarin).,,
ctxr_69368451377a840313f9,"With the labeled sentences and the large collection of financial reports, we apply FastText (Bojanowski et al., 2017) and Siamese-CBOW (Kenter et al., 2016) to sentence-level textual analysis.","In addition to the 10-K corpus, we also construct a set of labeled financial sentences with respect to financial risk by involving 8 financial specialists including accountants and financial analysts to ensure the quality of the labeling. With the labeled sentences and the large collection of financial reports, we apply FastText (Bojanowski et al., 2017) and Siamese-CBOW (Kenter et al., 2016) to sentence-level textual analysis. Due to the superior performance of FastText, the system highlights high risk sentences in those reports via using FastText.",Enriching Word Vectors with Subword Information,applies,applies,method,adapt_to_domain,"we apply FastText (Bojanowski et al., 2017)",0.85,False,"The text states they ""apply"" FastText for a specific analysis, indicating the method is being adapted to a domain-specific task.",,
ctxr_c0368b44d98d2250e8f8,"Similar to some previous work (Devlin et al., 2014; Chen and Manning, 2014) , we apply the precalculation strategy to speed up the most concerned computation.","Similar to some previous work (Devlin et al., 2014; Chen and Manning, 2014) , we apply the precalculation strategy to speed up the most concerned computation. This can be implemented as calculating a lookup table for the first hidden layer (values before computing activation function), which can replace the operations of the looking-up for embedding layer and the matrix multiplication for second layer (first hidden layer after).",A Fast and Accurate Dependency Parser using Neural Networks,applies,applies,method,direct_use,we apply the precalculation strategy to,0.85,False,"The sentence states that the authors apply a strategy similar to the cited work, indicating a direct use of a method.",,
ctxr_41790e30fa2ef8dd3378,"Our method applies group lasso to rational RNNs (Peng et al., 2018), a family of models that is closely connected to weighted finitestate automata (WFSAs).","We present a structure learning method for learning sparse, parameter-efficient NLP models. Our method applies group lasso to rational RNNs (Peng et al., 2018), a family of models that is closely connected to weighted finitestate automata (WFSAs). We take advantage of rational RNNs' natural grouping of the weights, so the group lasso penalty directly removes WFSA states, substantially reducing the number of parameters in the model.",Rational Recurrences,applies,applies,model,adapt_to_domain,"Our method applies group lasso to rational RNNs (Peng et al., 2018)",0.9,False,The citation indicates that the paper applies and adapts rational RNNs to their method using group lasso.,,
ctxr_b74c39a4c3936865708a,"This is consistent with prior work, e.g. (Mirkin and Cancedda, 2013) ; (ii) updating the reordering model without updating the translation model has practically no impact on results, since new phrase pairs from the new data that are not added to the phrase table cannot be used in the translation.","From the figure we learn that: (i) the reordering model is the least important one of the three. This is consistent with prior work, e.g. (Mirkin and Cancedda, 2013) ; (ii) updating the reordering model without updating the translation model has practically no impact on results, since new phrase pairs from the new data that are not added to the phrase table cannot be used in the translation. This is reflected in the almost flat line of experiment R, and in the very similar results of RL in comparison to L.",Assessing quick update methods of statistical translation models,critiques,background,claim_or_finding,none,"This is consistent with prior work, e.g. (Mirkin and Cancedda, 2013)",0.9,False,"The citation is used to provide background consistency with prior work, without critiquing or comparing in detail.",,
