normalized_section,primary_candidate_intent,rows,section_total,rate_within_section,is_known_section
model,applies,125,40179,0.0031110779262798973,True
related_work,background,269940,276975,0.9746005957216355,True
related_work,compares_against,3915,276975,0.01413484971567831,True
related_work,uses,1523,276975,0.0054986912176189185,True
related_work,critiques,1392,276975,0.005025724343352288,True
related_work,extends,153,276975,0.0005523964256701868,True
related_work,applies,52,276975,0.00018774257604476939,True
results,unclear,10907,16808,0.6489171822941456,True
results,background,2838,16808,0.168848167539267,True
results,compares_against,1971,16808,0.11726558781532603,True
results,uses,904,16808,0.05378391242265588,True
results,critiques,136,16808,0.00809138505473584,True
results,applies,33,16808,0.001963350785340314,True
results,extends,19,16808,0.0011304140885292717,True
dataset,unclear,35347,54386,0.6499282903688449,False
dataset,background,9371,54386,0.17230537270621116,False
dataset,uses,8160,54386,0.15003861287831427,False
dataset,compares_against,1016,54386,0.018681278270143053,False
dataset,critiques,226,54386,0.004155481190012135,False
dataset,applies,172,54386,0.003162578604787997,False
dataset,extends,94,54386,0.0017283859816864635,False
implementation,unclear,1835,3322,0.5523780854906682,False
implementation,uses,1010,3322,0.3040337146297411,False
implementation,background,353,3322,0.10626128838049367,False
implementation,compares_against,83,3322,0.024984948826008428,False
implementation,applies,22,3322,0.006622516556291391,False
implementation,extends,11,3322,0.0033112582781456954,False
implementation,critiques,8,3322,0.002408187838651415,False
system_description,unclear,1843,2886,0.6386001386001386,False
system_description,background,518,2886,0.1794871794871795,False
system_description,uses,311,2886,0.10776160776160776,False
system_description,compares_against,189,2886,0.06548856548856549,False
system_description,applies,12,2886,0.004158004158004158,False
system_description,extends,8,2886,0.002772002772002772,False
system_description,critiques,5,2886,0.0017325017325017325,False
task_definition,unclear,1818,2481,0.7327690447400241,False
task_definition,background,403,2481,0.16243450221684805,False
task_definition,uses,193,2481,0.07779121322047561,False
task_definition,compares_against,35,2481,0.014107214832728738,False
task_definition,critiques,25,2481,0.01007658202337767,False
task_definition,extends,5,2481,0.002015316404675534,False
task_definition,applies,2,2481,0.0008061265618702137,False
unknown,unclear,206912,293812,0.7042326385579895,False
unknown,background,54159,293812,0.18433215797857133,False
unknown,uses,22156,293812,0.07540876478836807,False
unknown,compares_against,7223,293812,0.024583747430329598,False
unknown,critiques,1762,293812,0.005997032115774713,False
unknown,extends,823,293812,0.002801110914462309,False
unknown,applies,777,293812,0.002644548214504513,False
